# first line anyway ignored (n. of points, energy shift, scaling = scaling x scaling, unit of disctance, unit of energy [both in units defined in POTL block])
33 0.0 1.0 1.0 1.0
# also ignored (3 integer parameters n, m, and s controling the RKHS, if we want to impose conditions, number of coefficients we want to impose conditions on)
3 0 3 T 1
# also ignored (Ra, C3, RC3)
25.0 4.556335252911937e-06 50.0
# also ignored
7.00 3.795048497358345e-06
7.25 1.350316088012924e-06
7.50 8.505305345885583e-07
7.75 6.369109454098932e-07
8.00 5.195570067464830e-07
8.25 4.462874026119736e-07
8.50 3.969156316608229e-07
9.00 3.365691560656578e-07
9.25 3.176982779260799e-07
9.50 3.036095821753880e-07
9.75 2.931412029125980e-07
10.00 2.855089996109233e-07
10.50 2.767348306344031e-07
11.00 2.745502929829731e-07
11.50 2.775292607779741e-07
12.00 2.849509991529826e-07
12.50 2.964332269429712e-07
13.00 3.118127363665703e-07
13.50 3.310170110669646e-07
14.00 3.539734923980833e-07
14.50 3.805274181723736e-07
15.00 4.104192364825628e-07
16.00 4.771812986598669e-07
17.00 5.436696432249352e-07
18.00 5.909474354228523e-07
19.00 5.941125103761429e-07
20.00 5.188472391244056e-07
21.00 3.737986538174584e-07
22.00 2.178121284835848e-07
23.00 1.039538349838032e-07
25.00 1.726371109318714e-08
27.00 2.433328534635669e-09
30.00 -1.272528956050395e-11
