7.00 4.450920329110693e-05
7.25 1.592131679720386e-05
7.50 1.006664915375250e-05
7.75 7.558182799546560e-06
8.00 6.176236276832747e-06
8.25 5.310739348459320e-06
8.50 4.725591494647120e-06
9.00 4.006639026823605e-06
9.25 3.780324900883374e-06
9.50 3.610492526799929e-06
9.75 3.483488997435721e-06
10.00 3.390086796426807e-06
10.50 3.280289431240866e-06
11.00 3.248766046203368e-06
11.50 3.278587299449671e-06
12.00 3.361130667299504e-06
12.50 3.491775091329965e-06
13.00 3.668493880724424e-06
13.50 3.890345790958388e-06
14.00 4.156408444110442e-06
14.50 4.464813573956881e-06
15.00 4.812479705868955e-06
16.00 5.589972023920715e-06
17.00 6.364880724625596e-06
18.00 6.915723500767153e-06
19.00 6.951347578178185e-06
20.00 6.070590862028976e-06
21.00 4.374455072454925e-06
22.00 2.550641417414877e-06
23.00 1.219318584281231e-06
25.00 2.051746268441958e-07
27.00 3.114454175759066e-08
30.00 1.823547840614378e-09
