7.00 4.435395152865600e-05
7.25 1.578157811626889e-05
7.50 9.940423720814621e-06
7.75 7.443782924103546e-06
8.00 6.072229725034565e-06
8.25 5.215904312442879e-06
8.50 4.638880557100742e-06
9.00 3.933591901280848e-06
9.25 3.713041883306471e-06
9.50 3.548382767918845e-06
9.75 3.426035454905961e-06
10.00 3.336835441906137e-06
10.50 3.234288909033183e-06
11.00 3.208757515383932e-06
11.50 3.243573669453341e-06
12.00 3.330313911211154e-06
12.50 3.464510397815382e-06
13.00 3.644255667469682e-06
13.50 3.868702198204979e-06
14.00 4.137001973804076e-06
14.50 4.447346238840011e-06
15.00 4.796701526751720e-06
16.00 5.576971204945942e-06
17.00 6.354041857432299e-06
18.00 6.906592610074309e-06
19.00 6.943583858318049e-06
20.00 6.063934442713893e-06
21.00 4.368705007178965e-06
22.00 2.545640351062447e-06
23.00 1.214941880531689e-06
25.00 2.017665401548730e-07
27.00 2.843909266341451e-08
30.00 -1.487245490400411e-10
