# Second-order spin-orbit coupling coefficient \lambda_SO for the a^3\Sigma^+ electronic state of the Sr+/Rb system 
# Calculated as 2/3*|<a^3\Sigma^+|H_SO|b^3\Pi>|^2/(V_{b^3\Pi}(R)-V_{a^3\Sigma^+}(R))
# This approximation breaks down for R < 7 bohr
# 
# R (bohr)  & \lambda_SO (cm-1)
7	9.76864098458542
7.25	3.49432513488304
7.5	2.2093741120825
7.75	1.65882938370616
8	1.35552718006989
8.25	1.16557256076915
8.5	1.03714745126075
9	0.879355623417521
9.25	0.829685414054504
9.5	0.792411516359003
9.75	0.764537463569968
10	0.744038049935025
10.5	0.71994031368619
11	0.713021730375765
11.5	0.719566738938786
12	0.737682914169105
12.5	0.766356050972848
13	0.805141342130148
13.5	0.853832208345969
14	0.912226211066031
14.5	0.979913313249598
15	1.05621720938847
16	1.2268570492806
17	1.39692985070794
18	1.51782586594069
19	1.52564444719813
20	1.33234069160062
21	0.960081914441925
22	0.55980108482684
23	0.267609496799422
25	0.045030625591712
27	0.006835436821223
30	0.000400222490092
